code,name,industry,region,list_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,volume,amount,turnover_rate,turnover_rate_free,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dividend_yield,dividend_yield_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_up,limit_down,adj_factor
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250908,94.3,94.61,93.01,93.32,94.39,-1.07,-1.1336,20913.49,195516.677,10.8737,10.8737,0.83,36.5927,33.5275,3.5374,2.1845,1.9935,,0.9185,9141.458,1923.3151,1923.3151,853080.8606,179483.7651,113.27,75.51,1.4151
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250905,89.55,94.94,89.2,94.39,88.67,5.72,6.4509,30197.9,281972.912,15.701,15.701,1.18,37.0123,33.9119,3.5779,2.2096,2.0163,,0.9081,9141.458,1923.3151,1923.3151,862862.2206,181541.7123,106.4,70.94,1.4151
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250904,89.97,92.79,87.4,88.67,89.73,-1.06,-1.1813,18141.87,164276.274,9.4326,9.4326,0.69,34.7693,31.8569,3.3611,2.0757,1.8942,,0.9667,9141.458,1923.3151,1923.3151,810573.0809,170540.3499,107.68,71.78,1.4151
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250903,92.99,94.0,89.7,89.73,93.21,-3.48,-3.7335,16754.54,153015.477,8.7113,8.7113,0.6,35.185,32.2377,3.4013,2.1005,1.9168,,0.9552,9141.458,1923.3151,1923.3151,820263.0263,172579.0639,111.85,74.57,1.4151
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250902,96.68,96.68,91.4,93.21,96.68,-3.47,-3.5892,28678.67,268027.2,14.9111,14.9111,1.06,36.5496,33.488,3.5332,2.182,1.9911,,0.9196,9141.458,1923.3151,1923.3151,852075.3002,179272.2005,116.02,77.34,1.4151
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250901,92.6,96.8,92.6,96.68,93.15,3.53,3.7896,32583.89,310075.372,16.9415,16.9415,1.25,37.9102,34.7347,3.6647,2.2632,2.0653,,0.8866,9141.458,1923.3151,1923.3151,883796.1594,185946.1039,111.78,74.52,1.4151
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250829,90.09,95.95,89.2,93.15,90.75,2.4,2.6446,31941.01,296943.672,16.6073,16.6073,1.2,36.526,33.4664,3.5309,2.1806,1.9899,,0.9202,9141.458,1923.3151,1923.3151,851526.8127,179156.8016,108.9,72.6,1.4151
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250828,88.7,90.75,87.15,90.75,88.7,2.05,2.3112,20764.0,184839.6,10.7959,10.7959,0.8,35.5849,32.6042,3.4399,2.1244,1.9386,,0.9445,9141.458,1923.3151,1923.3151,829587.3135,174540.8453,106.44,70.96,1.4151
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250827,90.96,92.23,88.68,88.7,92.28,-3.58,-3.8795,25397.44,230739.125,13.205,13.205,1.08,34.7811,31.8677,3.3622,2.0764,1.8948,,0.9663,9141.458,1923.3151,1923.3151,810847.3246,170598.0494,110.74,73.82,1.4151
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250826,90.91,94.69,90.5,92.28,90.5,1.78,1.9669,24971.23,231652.667,12.9834,12.9834,1.16,36.1849,33.1539,3.4979,2.1602,1.9713,,0.9289,9141.458,1923.3151,1923.3151,843573.7442,177483.5174,108.6,72.4,1.4151
301631,壹连科技,元器件,深圳,20241122,301631.SZ,20250825,92.03,92.54,89.5,90.5,91.35,-0.85,-0.9305,26975.14,243678.884,14.0253,14.0253,1.33,35.4869,35.5012,3.5503,2.1185,2.027,,0.9471,9141.458,1923.3151,1923.3151,827301.949,174060.0166,109.62,73.08,1.4151
